English,Vietnamese,Category
watch,đồng hồ đeo tay,Objects
television,tivi,Objects
mirror,gương,Objects
computer,máy tính,Objects
telephone,điện thoại,Objects
battery,pin,Objects
lamp,đèn,Objects
flashlight,đèn pin,Objects
tabacco,thuốc lá,Objects
medicine,thuốc,Objects
leaf,lá,Objects
wallet,ví,Objects
purse,ví,Objects
bag,túi,Objects
pocket,túi,Objects
hand,tay,Objects
arm,tay,Objects
key,chìa khóa,Objects
box,hộp,Objects
brush,bàn chải,Objects
flag,(lá) cờ,Objects
powder,bột,Objects
machine,máy,Objects
hammer,búa,Objects
ladder,thang,Objects
object,vật thể,Objects
photo,ảnh,Objects
picture,ảnh,Objects
fan,quạt,Objects
dictionary,từ điển,Objects
refrigerator,tủ lạnh,Objects
ring,nhẫn,Objects
glasses,kính,Objects
credit card,thẻ tín dụng,Objects
magnet,nam châm,Objects
balloon,(quả) bong bóng,Objects
balloon,bóng bay,Objects
screen,màn hình,Objects
monitor,màn hình,Objects
keyboard,bàn phím,Objects
celebratory card,(cái) thiệp ,Objects
knife,(con) dao,Objects
camera,máy ảnh,Objects
gift,(món) quà,Objects
present,(món) quà,Objects
pencil,bút chì,Objects
kite,diều,Objects
scissors,kéo,Objects
comb,lược,Objects
diary,nhật ký,Objects
sickle,liềm,Objects
tablet,máy tính bảng,Objects
washing machine,máy giặt,Objects
gold,vàng,Objects
lottery ticket,vé số,Objects
